contract_id,contract_name,measure_id,measure_name,score,weight,domain
H1944 ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H1947 ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H2168 ,VILLAGE SENIOR SERVICES CORPORATION ,C01,Breast Cancer Screening,4.0,1.0,Part C
H2224 ,"SENIOR WHOLE HEALTH, LLC ",C01,Breast Cancer Screening,3.0,1.0,Part C
H2230 ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H2237 ,INDEPENDENT CARE HEALTH PLAN ,C01,Breast Cancer Screening,3.0,1.0,Part C
H2261 ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H2422 ,"HEALTHPARTNERS, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H2486 ,"HUMANA MEDICAL PLAN OF UTAH, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H2577 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,4.0,1.0,Part C
H2737 ,"HEALTH NEW ENGLAND, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H2765 ,"SUMMIT HEALTH PLAN, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H2944 ,HUMANA INSURANCE COMPANY ,C01,Breast Cancer Screening,2.0,1.0,Part C
H2960 ,"HOMETOWN HEALTH PLAN, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H3113 ,"OXFORD HEALTH PLANS (NJ), INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H3152 ,AETNA HEALTH INC. (NJ) ,C01,Breast Cancer Screening,3.0,1.0,Part C
H3192 ,AETNA HEALTH OF MICHIGAN INC. ,C01,Breast Cancer Screening,4.0,1.0,Part C
H3288 ,AETNA HEALTH AND LIFE INSURANCE COMPANY ,C01,Breast Cancer Screening,4.0,1.0,Part C
H3312 ,AETNA HEALTH INC. (NY) ,C01,Breast Cancer Screening,4.0,1.0,Part C
H3347 ,"ELDERPLAN, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H3387 ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H3447 ,"HEALTHKEEPERS, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H3528 ,"CONNECTICARE, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H3536 ,"MATTHEW THORNTON HEALTH PLAN, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H3554 ,USABLE PPO INSURANCE COMPANY ,C01,Breast Cancer Screening,4.0,1.0,Part C
H3655 ,COMMUNITY INSURANCE COMPANY ,C01,Breast Cancer Screening,3.0,1.0,Part C
H3748 ,"AETNA BETTER HEALTH OF WASHINGTON, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H3749 ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H3810 ,"ALLCARE HEALTH PLAN, INC. ",C01,Breast Cancer Screening,2.0,1.0,Part C
H3817 ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,C01,Breast Cancer Screening,4.0,1.0,Part C
H3864 ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,C01,Breast Cancer Screening,4.0,1.0,Part C
H3949 ,"BRAVO HEALTH PENNSYLVANIA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H3975 ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",C01,Breast Cancer Screening,2.0,1.0,Part C
H4094 ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H4140 ,"DOCTORS HEALTHCARE PLANS, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H4213 ,USABLE MUTUAL INSURANCE COMPANY ,C01,Breast Cancer Screening,3.0,1.0,Part C
H4227 ,"VISTA HEALTH PLAN, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H5140 ,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H5141 ,CLOVER INSURANCE COMPANY ,C01,Breast Cancer Screening,4.0,1.0,Part C
H4754 ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,C01,Breast Cancer Screening,4.0,1.0,Part C
H4931 ,BANNER - UNIVERSITY CARE ADVANTAGE ,C01,Breast Cancer Screening,2.0,1.0,Part C
H4937 ,CALIFORNIA PHYSICIANS' SERVICE ,C01,Breast Cancer Screening,5.0,1.0,Part C
H5008 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,3.0,1.0,Part C
H5050 ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,C01,Breast Cancer Screening,5.0,1.0,Part C
H5398 ,CENTENE VENTURE COMPANY KANSAS ,C01,Breast Cancer Screening,3.0,1.0,Part C
H5422 ,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA ,C01,Breast Cancer Screening,3.0,1.0,Part C
H5434 ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H5496 ,"IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H5549 ,VNS CHOICE ,C01,Breast Cancer Screening,5.0,1.0,Part C
H5580 ,MERCY CARE ,C01,Breast Cancer Screening,2.0,1.0,Part C
H5587 ,"HEALTH CHOICE ARIZONA, INC. ",C01,Breast Cancer Screening,2.0,1.0,Part C
H5608 ,"DENVER HEALTH MEDICAL PLAN, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H5649 ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H5826 ,COMMUNITY HEALTH PLAN OF WASHINGTON ,C01,Breast Cancer Screening,3.0,1.0,Part C
H5828 ,"AMERIGROUP TENNESSEE, INC. ",C01,Breast Cancer Screening,2.0,1.0,Part C
H5859 ,"HEALTH PLAN OF CAREOREGON, INC. ",C01,Breast Cancer Screening,2.0,1.0,Part C
H5928 ,California Physicians' Service ,C01,Breast Cancer Screening,4.0,1.0,Part C
H5937 ,UCARE MINNESOTA ,C01,Breast Cancer Screening,4.0,1.0,Part C
H5945 ,PROMINENCE HEALTHFIRST ,C01,Breast Cancer Screening,4.0,1.0,Part C
H5970 ,HUMANA INSURANCE COMPANY OF NEW YORK ,C01,Breast Cancer Screening,4.0,1.0,Part C
H5989 ,"HEALTHFIRST HEALTH PLAN, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H6158 ,"USABLE HMO, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H6237 ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,C01,Breast Cancer Screening,5.0,1.0,Part C
H6328 ,"CARE N' CARE INSURANCE COMPANY, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H7245 ,PREMERA BLUE CROSS ,C01,Breast Cancer Screening,4.0,1.0,Part C
H6750 ,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H6910 ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H7123 ,"UPMC HEALTH COVERAGE, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H7326 ,"WELLCARE OF SOUTH CAROLINA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H7379 ,"CAREFIRST ADVANTAGE PPO, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H7404 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,4.0,1.0,Part C
H7464 ,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H7621 ,"HUMANA HEALTH PLAN OF CALIFORNIA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
R3332 ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
R3444 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,2.0,1.0,Part C
R4182 ,HUMANA INSURANCE COMPANY ,C01,Breast Cancer Screening,2.0,1.0,Part C
H8133 ,GHS INSURANCE COMPANY ,C01,Breast Cancer Screening,3.0,1.0,Part C
H8176 ,"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC ",C01,Breast Cancer Screening,3.0,1.0,Part C
H8189 ,MANAGED HEALTH SERVICES INSURANCE CORP. ,C01,Breast Cancer Screening,3.0,1.0,Part C
H8211 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,3.0,1.0,Part C
H8298 ,"HORIZON HEALTHCARE OF NEW JERSEY, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H8554 ,GHS INSURANCE COMPANY ,C01,Breast Cancer Screening,2.0,1.0,Part C
H8578 ,"HEALTH NEW ENGLAND, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H8649 ,AETNA HEALTH OF UTAH INC ,C01,Breast Cancer Screening,2.0,1.0,Part C
H8764 ,ASPIRE HEALTH PLAN ,C01,Breast Cancer Screening,5.0,1.0,Part C
H8908 ,"HUMANA MEDICAL PLAN OF MICHIGAN, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H8854 ,"CareFirst Advantage DSNP, Inc. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H9003 ,KAISER FOUNDATION HP OF THE N W ,C01,Breast Cancer Screening,5.0,1.0,Part C
H9047 ,PROVIDENCE HEALTH ASSURANCE ,C01,Breast Cancer Screening,5.0,1.0,Part C
H9065 ,"AMH HEALTH, LLC ",C01,Breast Cancer Screening,4.0,1.0,Part C
H9207 ,"HEALTH PARTNERS PLANS, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H9219 ,"AMH HEALTH PLANS OF MAINE, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H9364 ,"WELLCARE OF MAINE, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H9460 ,"CIGNA HEALTHCARE OF ST LOUIS, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H9615 ,"MVP HEALTH PLAN, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H9630 ,"ARKANSAS HEALTH AND WELLNESS HEALTH PLAN, INC ",C01,Breast Cancer Screening,4.0,1.0,Part C
H9730 ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",C01,Breast Cancer Screening,3.0,1.0,Part C
H9952 ,MEDICA HEALTH PLANS ,C01,Breast Cancer Screening,3.0,1.0,Part C
R1390 ,HUMANA INSURANCE COMPANY ,C01,Breast Cancer Screening,3.0,1.0,Part C
R5329 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,4.0,1.0,Part C
R5342 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,4.0,1.0,Part C
R5826 ,HUMANA INSURANCE COMPANY ,C01,Breast Cancer Screening,2.0,1.0,Part C
R5941 ,"ANTHEM INSURANCE COMPANIES, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
R6801 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,3.0,1.0,Part C
R7315 ,HUMANA INSURANCE COMPANY ,C01,Breast Cancer Screening,2.0,1.0,Part C
R7444 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,4.0,1.0,Part C
H0107 ,HEALTH CARE SERVICE CORPORATION ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H0712 ,"WELLCARE OF CONNECTICUT, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H0294 ,UNITEDHEALTHCARE INSURANCE COMPANY ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H0321 ,"ARIZONA PHYSICIANS IPA, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H0422 ,"UCARE HEALTH, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H0423 ,"METROPLUS HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H0473 ,HUMANA INSURANCE COMPANY OF KENTUCKY ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H0504 ,CALIFORNIA PHYSICIANS' SERVICE ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H0543 ,UHC OF CALIFORNIA ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H0755 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H0885 ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H0907 ,"AMERIGROUP IOWA, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H0913 ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",C02,Colorectal Cancer Screening,2.0,1.0,Part C
H1016 ,"AVMED, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H1032 ,"Sunshine State Health Plan, Inc. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H1112 ,"WELLCARE OF GEORGIA, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H1170 ,"KAISER FOUNDATION HP OF GA, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H1969 ,"REGENCE BLUESHIELD OF IDAHO, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H1189 ,CHRISTUS HEALTH PLAN ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H1278 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H2172 ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H1304 ,"REGENCE BLUESHIELD OF IDAHO, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H1360 ,"UnitedHealthcare Benefits of Texas, Inc. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H1607 ,"ANTHEM INSURANCE COMPANIES, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H2458 ,MEDICA HEALTH PLANS ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H2582 ,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H1799 ,"MOLINA HEALTHCARE OF KENTUCKY, INC. ",C02,Colorectal Cancer Screening,2.0,1.0,Part C
H1944 ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H1947 ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H2168 ,VILLAGE SENIOR SERVICES CORPORATION ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H2224 ,"SENIOR WHOLE HEALTH, LLC ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H2230 ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H2237 ,INDEPENDENT CARE HEALTH PLAN ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H2261 ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H2422 ,"HEALTHPARTNERS, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H2486 ,"HUMANA MEDICAL PLAN OF UTAH, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H2577 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H2737 ,"HEALTH NEW ENGLAND, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H2765 ,"SUMMIT HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H2944 ,HUMANA INSURANCE COMPANY ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H2960 ,"HOMETOWN HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H3113 ,"OXFORD HEALTH PLANS (NJ), INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3152 ,AETNA HEALTH INC. (NJ) ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3192 ,AETNA HEALTH OF MICHIGAN INC. ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3288 ,AETNA HEALTH AND LIFE INSURANCE COMPANY ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H3312 ,AETNA HEALTH INC. (NY) ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3347 ,"ELDERPLAN, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H3387 ,"UNITEDHEALTHCARE OF NEW YORK, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3447 ,"HEALTHKEEPERS, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3528 ,"CONNECTICARE, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3536 ,"MATTHEW THORNTON HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3554 ,USABLE PPO INSURANCE COMPANY ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H3655 ,COMMUNITY INSURANCE COMPANY ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3748 ,"AETNA BETTER HEALTH OF WASHINGTON, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3749 ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3810 ,"ALLCARE HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H3817 ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H3864 ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3949 ,"BRAVO HEALTH PENNSYLVANIA, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H3975 ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",C02,Colorectal Cancer Screening,2.0,1.0,Part C
H4094 ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H4140 ,"DOCTORS HEALTHCARE PLANS, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H4213 ,USABLE MUTUAL INSURANCE COMPANY ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H4227 ,"VISTA HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5140 ,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5141 ,CLOVER INSURANCE COMPANY ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H4754 ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H4931 ,BANNER - UNIVERSITY CARE ADVANTAGE ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H4937 ,CALIFORNIA PHYSICIANS' SERVICE ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5008 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5050 ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H5398 ,CENTENE VENTURE COMPANY KANSAS ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5422 ,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5434 ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5496 ,"IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H5549 ,VNS CHOICE ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H5580 ,MERCY CARE ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5587 ,"HEALTH CHOICE ARIZONA, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5608 ,"DENVER HEALTH MEDICAL PLAN, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5649 ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5826 ,COMMUNITY HEALTH PLAN OF WASHINGTON ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5828 ,"AMERIGROUP TENNESSEE, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5843 ,"BANNER HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5859 ,"HEALTH PLAN OF CAREOREGON, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H5928 ,California Physicians' Service ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5937 ,UCARE MINNESOTA ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5945 ,PROMINENCE HEALTHFIRST ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H5970 ,HUMANA INSURANCE COMPANY OF NEW YORK ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H5989 ,"HEALTHFIRST HEALTH PLAN, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H6158 ,"USABLE HMO, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H6237 ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H6328 ,"CARE N' CARE INSURANCE COMPANY, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H7245 ,PREMERA BLUE CROSS ,C02,Colorectal Cancer Screening,5.0,1.0,Part C
H6750 ,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H6898 ,"VERMONT BLUE ADVANTAGE, INC. ",C02,Colorectal Cancer Screening,5.0,1.0,Part C
H6910 ,"MOUNT CARMEL HEALTH PLAN OF IDAHO, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H7123 ,"UPMC HEALTH COVERAGE, INC. ",C02,Colorectal Cancer Screening,2.0,1.0,Part C
H7326 ,"WELLCARE OF SOUTH CAROLINA, INC. ",C02,Colorectal Cancer Screening,3.0,1.0,Part C
H7379 ,"CAREFIRST ADVANTAGE PPO, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H7404 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
H7464 ,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H7621 ,"HUMANA HEALTH PLAN OF CALIFORNIA, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
R3332 ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
H7925 ,"CENTENE VENTURE COMPANY INDIANA, INC. ",C02,Colorectal Cancer Screening,4.0,1.0,Part C
R3444 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
R4182 ,HUMANA INSURANCE COMPANY ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H8133 ,GHS INSURANCE COMPANY ,C02,Colorectal Cancer Screening,3.0,1.0,Part C
H8176 ,"MOLINA HEALTHCARE OF SOUTH CAROLINA,INC ",C02,Colorectal Cancer Screening,2.0,1.0,Part C
H8189 ,MANAGED HEALTH SERVICES INSURANCE CORP. ,C02,Colorectal Cancer Screening,4.0,1.0,Part C
